"Rule Name","Rule Nº","Decides","Assigned To","Grouping","Created By","Sequence","Created Time","Modified Time","Condition String 1","Condition Number 1","Condition String 2","Condition Number 2","Condition String 3","Condition Number 3","Condition String 4","Condition Number 4","Value String 1","Value Number 1","Value String 2","Value Number 2","Value String 3","Value Number 3","Value String 4","Value Number 4","Description"
"SeasonDish1","DT-0000001","","admin","twocolumns","admin","1","2019-05-05 19:37:49","2019-05-05 19:37:49","Fall","0.00","","8.00","","0.00","","0.00","Spareribs","0.00","","0.00","","0.00","","0.00",""
"SeasonDish2","DT-0000002","","admin","twocolumns","admin","2","2019-05-05 19:37:50","2019-05-05 19:37:50","Winter","0.00","","8.00","","0.00","","0.00","Roastbeef","0.00","","0.00","","0.00","","0.00",""
"SeasonDish3","DT-0000003","","admin","twocolumns","admin","3","2019-05-05 19:37:50","2019-05-05 19:37:50","Spring","0.00","","4.00","","0.00","","0.00","Dry Aged Gourmet Steak","0.00","","0.00","","0.00","","0.00",""
"SeasonDish4","DT-0000004","","admin","twocolumns","admin","4","2019-05-05 19:37:50","2019-05-05 19:37:50","Spring","5.00","","8.00","","0.00","","0.00","Steak","0.00","","0.00","","0.00","","0.00",""
"SeasonDish5","DT-0000005","","admin","twocolumns","admin","5","2019-05-05 19:37:50","2019-05-05 19:37:50","Fall","9.00","","10,000.00","","0.00","","0.00","Stew","0.00","","0.00","","0.00","","0.00",""
"SeasonDish6","DT-0000006","","admin","twocolumns","admin","6","2019-05-05 19:37:50","2019-05-05 19:37:50","Winter","9.00","","10,000.00","","0.00","","0.00","Stew","0.00","","0.00","","0.00","","0.00",""
"SeasonDish7","DT-0000007","","admin","twocolumns","admin","7","2019-05-05 19:37:50","2019-05-05 19:37:50","Spring","9.00","","10,000.00","","0.00","","0.00","Stew","0.00","","0.00","","0.00","","0.00",""
"SeasonDish8","DT-0000008","","admin","twocolumns","admin","8","2019-05-05 19:37:50","2019-05-05 19:37:50","Summer","0.00","","10,000.00","","0.00","","0.00","Light Salad and a nice Steak","0.00","","0.00","","0.00","","0.00",""
"SeasonDish1","DT-0000009","","admin","onecolumn","admin","1","2019-05-05 19:37:50","2019-05-05 19:37:50","Fall","8.00","","0.00","","0.00","","0.00","Spareribs","0.00","","0.00","","0.00","","0.00",""
"SeasonDish2","DT-0000010","","admin","onecolumn","admin","2","2019-05-05 19:37:50","2019-05-05 19:37:50","Fall","10,000.00","","0.00","","0.00","","0.00","Stew","0.00","","0.00","","0.00","","0.00",""
"SeasonDish3","DT-0000011","","admin","onecolumn","admin","3","2019-05-05 19:37:50","2019-05-05 19:37:50","Spring","4.00","","0.00","","0.00","","0.00","Dry Aged Gourmet Steak","0.00","","0.00","","0.00","","0.00",""
"SeasonDish4","DT-0000012","","admin","onecolumn","admin","4","2019-05-05 19:37:51","2019-05-05 19:37:51","Spring","8.00","","0.00","","0.00","","0.00","Steak","0.00","","0.00","","0.00","","0.00",""
"SeasonDish5","DT-0000013","","admin","onecolumn","admin","5","2019-05-05 19:37:51","2019-05-05 19:37:51","Spring","10,000.00","","0.00","","0.00","","0.00","Stew","0.00","","0.00","","0.00","","0.00",""
"SeasonDish6","DT-0000014","","admin","onecolumn","admin","6","2019-05-05 19:37:51","2019-05-05 19:37:51","Winter","8.00","","0.00","","0.00","","0.00","Roastbeef","0.00","","0.00","","0.00","","0.00",""
"SeasonDish7","DT-0000015","","admin","onecolumn","admin","7","2019-05-05 19:37:51","2019-05-05 19:37:51","Winter","10,000.00","","0.00","","0.00","","0.00","Stew","0.00","","0.00","","0.00","","0.00",""
"SeasonDish8","DT-0000016","","admin","onecolumn","admin","8","2019-05-05 19:37:51","2019-05-05 19:37:51","Summer","10,000.00","","0.00","","0.00","","0.00","Light Salad and a nice Steak","0.00","","0.00","","0.00","","0.00",""
"Employee Salary Bonus","DT-0000025","","admin","salarybonus","admin","1","2019-05-05 22:12:40","2019-05-05 22:12:40","","1.00","","0.00","","0.00","","0.00","","100.00","","0.00","","0.00","","0.00",""
"Employee Salary Bonus","DT-0000026","","admin","salarybonus","admin","2","2019-05-05 22:12:52","2019-05-05 22:12:52","","2.00","","0.00","","0.00","","0.00","","200.00","","0.00","","0.00","","0.00",""
"Employee Salary Bonus","DT-0000027","","admin","salarybonus","admin","3","2019-05-05 22:13:04","2019-05-05 22:13:04","","3.00","","0.00","","0.00","","0.00","","300.00","","0.00","","0.00","","0.00",""
"Employee Salary Bonus","DT-0000028","","admin","salarybonus","admin","4","2019-05-05 22:13:19","2019-05-05 22:13:19","","5.00","","0.00","","0.00","","0.00","","500.00","","0.00","","0.00","","0.00",""
"Car Insurance Fee","DT-0000029","","admin","insurancefee","admin","1","2019-05-05 22:17:57","2019-05-05 22:18:08","","0.00","","0.00","","0.00","","0.00","","205.43","","0.00","","0.00","","0.00",""
"Car Insurance Fee","DT-0000030","","admin","insurancefee","admin","2","2019-05-05 22:18:25","2019-05-05 22:18:25","","2.00","","0.00","","0.00","","0.00","","150.21","","0.00","","0.00","","0.00",""
"Car Insurance Fee","DT-0000031","","admin","insurancefee","admin","3","2019-05-05 22:18:41","2019-05-05 22:18:41","","3.00","","0.00","","0.00","","0.00","","98.83","","0.00","","0.00","","0.00",""
"Car Insurance Fee","DT-0000032","","admin","insurancefee","admin","4","2019-05-05 22:18:58","2019-05-05 22:18:58","","4.00","","0.00","","0.00","","0.00","","64.32","","0.00","","0.00","","0.00",""
